X1,status,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
2,1,3.3,0.62,1.3,0.96,0.7,0.94,-21.75,-0.12,-0.53,8.5,8.49,-0.05,-17.55,-0.01,-0.01,1,1,1,1,7,25,8,36635,4635
3,1,-7.93,-0.19,0.87,1.35,1.34,225.95,-42.44,-0.59,-8.12,5.13,5.47,-0.02,-38.08,-0.1,-0.1,1,1,1,1,1,42,65,29970,4791
7,1,1.24,0.41,1.81,1.14,0.65,1.1,-10.84,-0.08,-0.21,2.33,2.31,-0.09,0.62,0,0,1,1,1,1,30,43,21,7052,4752
10,1,-1.16,-0.68,0.14,1.6,0.87,2.23,-16.29,-0.27,-0.05,2.66,2.68,-0.06,-11.62,-0.07,-0.07,1,1,1,1,48,31,12,4276,4771
12,1,-1.9,-0.86,0.47,0.42,0.42,-1.78,-13.83,-0.24,-0.23,1.32,1.29,-0.07,-12.22,-0.16,-0.17,1,1,1,1,0,53,156,3799,3212
14,1,180.39,0,1.01,1.06,1.06,2.25,-48.31,0,-0.79,1.08,0.87,-0.02,277.13,0,0,1,1,1,1,1,283,0,3437,4941
16,1,5.88,0.57,1.17,0.35,0.12,0.36,-103.42,-0.1,-0.72,0.79,0.78,-0.01,-88.87,-0.11,-0.11,1,1,1,1,77,306,12,2475,4711
17,1,-10.8,-8.28,0.91,0.8,0.03,-0.59,-0.41,-0.01,-0.43,0.07,0.1,-2.43,-0.22,-0.1,-0.08,1,1,1,1,4281,355,65,2274,4120
18,1,3.73,0.21,1.27,1.41,1.35,1.89,13.57,0.11,0.27,1.72,1.7,0.07,21.4,0.1,0.1,0,0,1,0,7,61,75,1991,1330
20,1,0.77,0.07,2.29,2.73,2.73,18.73,190.84,0.41,0.54,1.23,0.8,0.01,193.94,0.34,0.52,0,0,1,0,0,73,151,1773,4752
21,1,0.19,0,6.18,3.28,3.28,1.79,-17.72,-0.28,-0.36,5.02,5.64,-0.06,-16.5,-0.05,-0.05,1,1,1,1,0,5,27,1739,4646
22,1,-21.83,-0.01,0.95,1,1,1.34,-128.2,-0.2,-4.19,3.77,3.76,-0.01,-124.64,-0.04,-0.04,1,1,1,1,0,80,74,1738,5229
23,1,1.23,1.1,1.82,0.33,0.33,0.56,2.16,0.03,0.02,0.12,0.11,0.46,4.57,0.49,0.51,0,0,1,0,0,142,77,1603,6820
24,1,-2.55,-1.06,0.61,0.62,0.62,-2.33,-20.14,-0.69,-1.12,1.67,1.66,-0.05,-15.61,-0.32,-0.32,1,1,1,1,0,46,150,1544,7022
25,1,-1.49,0,0.33,0.1,0.1,-2.73,-53.41,-0.79,-0.39,0.95,0.85,-0.02,-42.31,-0.66,-0.74,1,1,1,1,0,0,0,1499,9313
26,1,11.92,0,1.08,1.14,1.14,9.24,32.57,0.03,0.1,3.32,3.14,0.03,47.42,0.01,0.01,0,0,1,0,0,0,0,1488,4941
31,1,-1.21,0,0.17,0.14,0.14,-28.95,-58.08,-1.02,-0.23,4.4,4.38,-0.02,-57.31,-0.23,-0.23,1,1,1,1,0,444,0,1244,4759
32,1,-8.74,-0.77,0.89,1.24,1.13,34.56,-16.53,-0.15,-1.27,0.7,0.69,-0.06,-16.29,-0.22,-0.22,1,1,1,1,47,213,386,1239,4312
33,1,-2.57,-0.37,0.61,1.14,1.14,4.11,-1.05,-0.05,-0.15,3.06,3.06,-0.95,-1.04,-0.02,-0.02,1,1,1,1,0,16,109,1202,5224
34,1,-3.85,-0.37,0.74,0.85,0.85,-0.55,-8.79,-0.35,-1.1,4.55,4.49,-0.11,-7.74,-0.07,-0.07,1,1,1,1,0,15,64,1160,4941
35,1,47.92,13.14,1.02,1.03,0.08,1.31,-6.82,-0.13,-7.11,1.8,1.79,-0.15,-5.21,-0.05,-0.05,1,1,1,1,172,131,8,1084,4764
36,1,0.98,0,2.02,0.13,0.13,0.75,-94.66,-0.01,-0.01,0.08,0.07,-0.01,345.2,0.52,0.64,1,1,1,1,0,20,4,1043,6820
37,1,-4.96,0,0.8,1.06,1.05,1.18,-22.94,-0.21,-1.47,3.6,3.58,-0.04,-20.18,-0.05,-0.05,1,1,1,1,0,0,66,999,4633
38,1,-8.11,0,0.88,0.94,0.39,-0.32,-42.01,-0.13,-1.02,1.28,1.27,-0.02,-40.39,-0.1,-0.1,1,1,1,1,160,0,0,999,4775
40,1,-1.69,-0.98,0.41,0.18,0.16,-0.06,-6.88,-0.46,-0.36,2.3,2.3,-0.15,-5.04,-0.15,-0.15,1,1,1,1,3,58,0,969,5630
42,1,-2.86,-1.06,0.65,0.41,0.27,-1.27,-1.71,-0.03,-0.09,0.25,0.23,-0.58,-1.02,-0.08,-0.08,1,1,1,1,310,99,276,910,4771
43,1,-3.51,0,0.72,1.14,0.21,4.1,-20.2,-0.45,-1.18,0.85,0.69,-0.05,-20.08,-0.53,-0.64,1,1,1,1,338,0,58,849,4532
44,1,0.69,0,2.44,2.45,2.44,104.79,-79.5,-0.11,-0.18,0.53,0.53,-0.01,-77.2,-0.2,-0.2,1,1,1,1,2,0,0,835,3520
45,1,15.55,0,1.06,0.95,0.45,0.88,2.22,0.02,0.11,6.28,6.28,0.45,7.71,0.01,0.01,0,0,1,0,22,0,0,827,4711
49,1,-5.4,-1.54,0.81,0.02,0.02,-0.11,-5.91,-0.22,-1.14,0.52,0.48,-0.17,-0.75,-0.05,-0.06,1,1,1,1,2,146,4,636,9313
54,1,5.89,2.38,1.17,1.37,1.34,11.01,6.26,0.12,0.23,2.46,2.46,0.16,6.38,0.05,0.05,0,0,1,0,3,14,123,593,4321
55,1,-7.72,-0.29,0.87,1.42,0.92,8.83,-147.85,-0.2,-1.34,1.25,1.17,-0.01,-137.04,-0.15,-0.16,1,1,1,1,98,153,152,573,2512
57,1,-8.99,-0.01,0.89,0.78,0.78,0.17,-3.99,-0.11,-1.1,1.02,1.02,-0.25,-2.73,-0.07,-0.07,1,1,1,1,0,15,213,556,5224
58,1,-5.68,-3.69,0.82,0.05,0.05,-0.03,-4.36,-0.19,-1.11,0.22,0.21,-0.23,-1.94,-0.39,-0.4,1,1,1,1,1,297,21,544,121
59,1,4.81,2.1,1.21,1.28,0.57,55.73,5.32,0.07,0.26,0.74,0.74,0.19,5.52,0.09,0.09,0,0,1,0,269,88,131,527,4673
60,1,1.61,0,1.62,1.56,1.54,4,11.59,0.14,0.24,2.14,2.14,0.09,14.05,0.08,0.08,0,0,1,0,1,0,0,511,5630
62,1,1.44,0.02,1.7,1.71,1.71,12.14,-4.45,-0.1,-0.34,1.98,1.37,-0.22,-4.31,-0.05,-0.07,1,1,1,1,0,36,137,426,5221
63,1,19.29,0,1.05,1.07,0.54,1.44,1.31,0.01,0.02,0.52,0.62,0.77,2.44,0.04,0.03,0,0,1,0,303,0,0,426,1419
65,1,-5.93,-5.85,0.83,0.14,0.14,0.93,1.11,0.05,-0.01,0.11,0.11,0.9,2.15,0.94,0.94,0,0,1,1,0,0,0,360,3511
67,1,-1.37,0,0.27,0.12,0.09,-0.21,-18.44,-0.58,-0.23,3.83,3.58,-0.05,-15.52,-0.13,-0.14,1,1,1,1,4,21,0,354,3109
69,1,-3.25,0,0.69,1.09,1.09,15.4,-126.2,-0.85,-1.94,5.85,5.07,-0.01,-125.57,-0.15,-0.17,1,1,1,1,0,5,36,324,4120
70,1,-1.64,-0.03,0.39,0.33,0.33,-9.24,-185.17,-1.17,-0.75,2.23,2.03,-0.01,-160.73,-0.46,-0.5,1,1,1,1,0,139,117,323,4941
72,1,27.75,11.15,1.04,1.06,0.34,5.36,-6.23,-0.04,-1.2,0.31,0.13,-0.16,-5.74,-0.11,-0.26,1,1,1,1,792,54,377,304,4771
73,1,-15.66,0,0.94,0.13,0.13,0.97,1.11,0,-0.01,0.02,0.01,0.9,2.65,0.59,1.14,0,0,1,1,0,0,0,290,6820
75,1,0.63,0,2.59,0.22,0.22,0.73,-54.21,-0.07,-0.11,1.74,1.74,-0.02,-48.11,-0.03,-0.03,1,1,1,1,0,0,0,271,9523
76,1,5.68,0,1.18,1.71,1.71,43.74,-22.03,-0.17,-1.2,0.6,0.42,-0.05,-21.77,-0.28,-0.41,1,1,1,1,0,0,164,264,6622
78,1,-2.92,-2.38,0.66,0.26,0.13,0.67,-2.38,-0.01,-0.02,0.05,0.02,-0.42,4.16,0.27,0.68,1,1,1,1,410,913,22,255,2599
79,1,-2.58,-2.24,0.61,3.59,0.81,30.56,-13.08,-0.6,-1.02,0.92,0.89,-0.08,-12.69,-0.64,-0.66,1,1,1,1,301,59,67,255,4622
80,1,-3.79,0,0.74,0.83,0.73,-7.53,-22.14,-0.78,-2.26,0.85,0.68,-0.05,-21.55,-0.89,-1.11,1,1,1,1,48,0,351,240,4674
81,1,1.15,0.04,1.87,2.68,1.09,21.39,-59.74,-0.12,-0.27,0.33,0.34,-0.02,-53.64,-0.33,-0.33,1,1,1,1,630,170,86,238,2800
83,1,1.95,0,1.51,1.71,0.13,9.59,4.26,0.05,0.1,0.28,0.18,0.23,5.14,0.22,0.34,0,0,1,0,1170,0,0,230,4641
84,1,6.86,3.29,1.15,0.4,0.4,0.67,5.65,0.07,0.27,0.75,0.67,0.18,7.91,0.13,0.15,0,0,1,0,0,211,49,228,7490
87,1,0.44,0,3.27,0.96,0.96,0.99,-95.56,-0.11,-0.17,0.53,0.51,-0.01,-52.65,-0.12,-0.12,1,1,1,1,0,0,0,218,1330
89,1,34,0,1.03,0.9,0.36,0.23,0.72,0.02,-0.13,0.38,0.25,1.33,0.76,0.04,0.06,0,1,1,1,495,0,0,200,4641
90,1,-3.47,0,0.71,0.84,0.84,-22.65,22.55,-1.33,-3.48,0.96,0.96,-0.03,22.79,0.88,0.88,0,1,1,1,0,0,0,200,7410
94,1,-2.35,-0.52,0.57,1.23,0.59,4.14,-20.67,-1.02,-1.44,1.88,1.14,-0.05,-20.28,-0.53,-0.87,1,1,1,1,96,42,76,177,4771
95,1,-2.99,-0.75,0.67,0.11,0.1,0.49,-2.24,-0.01,-0.03,0.12,0.11,-0.45,5.6,0.21,0.22,1,1,1,1,3,157,0,174,812
97,1,-3.54,0,0.72,0.51,0.51,-1.35,-87.63,-0.52,-1.35,1.42,1.29,-0.01,-75.1,-0.32,-0.35,1,1,1,1,0,217,97,170,4321
98,1,11.19,0,1.09,1.1,1.1,1.48,-11.37,-0.12,-1.66,1.65,3.25,-0.09,-5.89,-0.04,-0.02,1,1,1,1,0,48,163,156,4120
101,1,-1.92,0,0.48,0.45,0.17,-22.16,-3.6,-0.11,-0.13,1.26,1.18,-0.28,-2.5,-0.06,-0.06,1,1,1,1,170,0,0,140,4771
104,1,1.48,0,1.67,0.45,0.45,0.57,1.39,0.02,0.01,0.23,0.18,0.73,4.44,0.31,0.39,0,0,1,0,0,0,0,128,5110
105,1,-10.21,0,0.9,0.48,0.34,-0.23,-1.6,-0.02,-0.46,0.41,0.25,-1.14,2.25,0.14,0.24,1,1,1,1,136,0,0,124,6202
106,1,-11.94,0,0.92,0.67,0.51,-0.34,83.5,0.04,-0.43,0.4,0.4,0.01,116.17,0.15,0.15,0,0,1,0,161,717,400,122,4120
107,1,-6.68,0,0.85,0.8,0.8,-2.77,-6.6,-0.21,-1.4,0.45,0.44,-0.15,-6.19,-0.45,-0.46,1,1,1,1,0,0,0,111,4339
108,1,-1.76,-0.04,0.43,0.53,0.53,-12.5,-28.24,-0.22,-0.17,0.25,0.13,-0.04,-24.43,-0.76,-1.41,1,1,1,1,0,355,237,109,5813
109,1,-7.53,-2.15,0.87,0.22,0.22,-0.2,-0.08,0.04,-0.02,0.2,0.19,0.78,1.4,0.2,0.21,1,0,0,0,0,1416,158,109,4222
112,1,3.45,0,1.29,0.5,0.5,0.49,-1.77,0,-0.04,0.02,0.01,-0.59,2.63,0.43,0.98,1,1,1,1,0,0,0,106,7490
