X1,X1,cluster,status
2,2,0,1
3,3,0,1
10,10,0,1
12,12,0,1
16,16,0,1
17,17,0,1
18,18,1,1
20,20,1,1
21,21,1,1
22,22,0,1
23,23,1,1
24,24,0,1
25,25,0,1
26,26,1,1
31,31,0,1
32,32,0,1
33,33,0,1
34,34,0,1
35,35,0,1
36,36,1,1
37,37,0,1
38,38,0,1
40,40,0,1
42,42,0,1
43,43,0,1
44,44,0,1
45,45,1,1
49,49,0,1
54,54,1,1
55,55,0,1
57,57,0,1
58,58,0,1
59,59,1,1
60,60,1,1
62,62,0,1
63,63,1,1
65,65,1,1
67,67,0,1
69,69,0,1
70,70,0,1
72,72,0,1
73,73,1,1
75,75,0,1
76,76,0,1
78,78,0,1
79,79,0,1
80,80,0,1
81,81,0,1
83,83,1,1
84,84,1,1
87,87,0,1
89,89,1,1
90,90,0,1
94,94,0,1
95,95,0,1
97,97,0,1
98,98,0,1
101,101,0,1
104,104,1,1
105,105,0,1
106,106,1,1
107,107,0,1
108,108,0,1
109,109,1,1
112,112,1,1
114,114,0,1
115,115,0,1
119,119,1,1
121,121,1,1
122,122,1,1
124,124,0,1
126,126,1,1
129,129,0,1
135,135,1,1
136,136,1,1
139,139,0,1
140,140,0,1
145,145,1,1
146,146,1,1
147,147,1,1
149,149,1,1
159,159,0,1
160,160,1,1
161,161,1,1
162,162,0,1
163,163,1,1
165,165,0,1
167,167,1,1
169,169,1,1
171,171,0,1
172,172,0,1
174,174,1,1
175,175,0,1
176,176,1,1
177,177,1,1
178,178,1,1
180,180,1,1
181,181,1,1
182,182,0,1
183,183,0,1
185,185,1,1
186,186,1,1
187,187,0,1
188,188,0,1
189,189,0,1
191,191,0,1
192,192,1,1
193,193,1,1
194,194,0,1
196,196,0,1
198,198,0,1
199,199,1,1
200,200,1,1
201,201,0,1
202,202,0,1
203,203,0,1
204,204,0,1
207,207,0,1
208,208,0,1
209,209,1,1
210,210,1,1
214,214,1,1
216,216,1,1
217,217,1,1
219,219,1,1
220,220,1,1
222,222,0,1
224,224,0,1
225,225,1,1
229,229,1,1
230,230,1,1
231,231,1,1
232,232,1,1
233,233,0,1
234,234,1,1
235,235,0,1
236,236,1,1
237,237,1,1
238,238,1,1
239,239,0,1
240,240,0,1
241,241,1,1
242,242,0,1
246,246,1,1
247,247,1,1
248,248,1,1
249,249,0,1
251,251,1,1
253,253,0,1
254,254,0,1
255,255,0,1
256,256,0,1
259,259,0,1
261,261,1,1
262,262,1,1
263,263,1,1
264,264,0,1
265,265,0,1
266,266,0,1
267,267,1,1
268,268,0,1
270,270,1,1
271,271,0,1
272,272,1,1
273,273,0,1
274,274,1,1
275,275,0,1
276,276,0,1
277,277,0,1
279,279,0,1
281,281,1,1
282,282,0,1
283,283,0,1
286,286,1,1
287,287,0,1
289,289,1,1
290,290,0,1
291,291,0,1
292,292,1,1
293,293,1,1
294,294,0,1
295,295,0,1
296,296,1,1
297,297,1,1
298,298,0,1
299,299,0,1
301,301,1,1
302,302,0,1
303,303,1,1
304,304,0,1
305,305,0,1
306,306,1,1
307,307,0,1
308,308,0,1
310,310,1,1
312,312,1,1
314,314,1,1
315,315,1,1
316,316,1,1
318,318,0,1
319,319,1,1
321,321,1,1
322,322,0,1
323,323,1,1
325,325,1,1
326,326,0,1
327,327,1,1
328,328,1,1
330,330,1,1
331,331,1,1
332,332,0,1
333,333,0,1
336,336,1,1
337,337,0,1
338,338,0,1
339,339,0,1
340,340,1,1
341,341,0,1
342,342,1,1
343,343,1,1
344,344,0,1
345,345,1,1
346,346,1,1
347,347,0,1
348,348,0,1
349,349,0,1
350,350,0,1
351,351,0,1
352,352,1,1
353,353,1,1
354,354,1,1
355,355,0,1
356,356,0,1
357,357,1,1
358,358,0,1
359,359,1,1
360,360,0,1
361,361,0,1
362,362,1,1
364,364,0,1
365,365,1,1
366,366,0,1
368,368,1,1
369,369,1,1
370,370,0,1
373,373,0,1
374,374,0,1
375,375,1,1
377,377,0,1
379,379,1,1
380,380,0,1
382,382,0,1
383,383,1,1
384,384,0,1
385,385,0,1
386,386,1,1
387,387,0,1
388,388,0,1
389,389,0,1
390,390,1,1
391,391,0,1
397,397,0,1
398,398,1,1
399,399,0,1
401,401,1,1
402,402,0,1
403,403,0,1
404,404,0,1
405,405,0,1
406,406,1,1
407,407,0,1
409,409,1,1
410,410,1,1
411,411,1,1
412,412,0,1
413,413,1,1
414,414,0,1
415,415,0,1
416,416,0,1
418,418,1,1
420,420,0,1
421,421,1,1
423,423,1,1
425,425,1,1
428,428,1,1
429,429,1,1
430,430,0,1
432,432,0,1
433,433,1,1
436,436,1,1
437,437,0,1
438,438,0,1
440,440,0,1
441,441,0,1
442,442,1,1
443,443,1,1
444,444,1,1
445,445,0,1
447,447,0,1
448,448,1,1
449,449,1,1
450,450,1,1
451,451,0,1
452,452,0,1
454,454,1,1
455,455,1,1
456,456,1,1
457,457,1,1
458,458,1,1
459,459,1,1
460,460,1,1
461,461,1,1
462,462,1,1
465,465,0,1
466,466,1,1
468,468,1,1
469,469,1,1
470,470,1,1
471,471,1,1
472,472,1,1
474,474,1,1
475,475,0,1
476,476,1,1
477,477,1,1
478,478,1,1
480,480,1,1
481,481,1,1
482,482,0,1
483,483,0,1
484,484,1,1
485,485,0,1
486,486,1,1
492,492,0,1
493,493,0,1
495,495,1,1
496,496,1,1
497,497,0,1
498,498,0,1
499,499,0,1
500,500,0,1
501,501,0,1
502,502,1,1
503,503,1,1
504,504,0,1
506,506,0,1
507,507,0,1
510,510,1,1
512,512,0,1
513,513,1,1
514,514,0,1
515,515,1,1
516,516,0,1
520,520,0,1
521,521,1,1
522,522,1,1
523,523,1,1
524,524,0,1
525,525,1,1
526,526,0,1
527,527,0,1
528,528,0,1
530,530,1,1
531,531,1,1
532,532,0,1
533,533,0,1
536,536,1,1
537,537,0,1
539,539,1,1
540,540,0,1
542,542,0,1
543,543,0,1
544,544,1,1
546,546,1,1
547,547,0,1
548,548,1,1
549,549,0,1
551,551,0,1
552,552,0,1
553,553,1,1
554,554,1,1
555,555,1,1
556,556,1,1
557,557,0,1
559,559,0,1
561,561,1,1
563,563,1,1
564,564,1,1
565,565,1,1
566,566,1,1
567,567,0,1
568,568,1,1
569,569,0,1
570,570,1,1
571,571,1,1
572,572,1,1
573,573,1,1
575,575,0,1
576,576,0,1
578,578,0,1
579,579,1,1
580,580,1,1
581,581,1,1
582,582,1,1
583,583,0,1
586,586,1,1
588,588,1,1
589,589,0,1
590,590,0,1
591,591,0,1
592,592,0,1
593,593,0,1
594,594,0,1
596,596,1,1
597,597,1,1
599,599,1,1
601,601,1,1
602,602,1,1
605,605,0,1
606,606,0,1
607,607,0,1
608,608,1,1
610,610,1,1
611,611,1,1
612,612,1,1
613,613,1,1
614,614,0,1
616,616,0,1
617,617,1,1
618,618,1,1
619,619,0,1
620,620,0,1
621,621,0,1
622,622,1,1
623,623,0,1
624,624,0,1
625,625,0,1
626,626,1,1
627,627,1,1
628,628,0,1
629,629,0,1
630,630,0,1
633,633,0,1
634,634,1,1
635,635,1,1
636,636,0,1
637,637,0,1
638,638,0,1
639,639,1,1
640,640,1,1
641,641,1,1
642,642,0,1
644,644,1,1
646,646,0,1
647,647,0,1
649,649,1,1
650,650,0,1
652,652,0,1
653,653,1,1
655,655,0,1
658,658,1,1
659,659,0,1
660,660,0,1
661,661,1,1
662,662,1,1
663,663,1,1
664,664,0,1
665,665,0,1
666,666,0,1
667,667,0,1
668,668,0,1
669,669,0,1
670,670,1,1
671,671,1,1
672,672,0,1
673,673,1,1
674,674,0,1
675,675,0,1
676,676,0,1
678,678,1,1
679,679,0,1
681,681,0,1
682,682,0,1
683,683,0,1
685,685,0,1
686,686,1,1
688,688,1,1
690,690,1,1
691,691,1,1
692,692,1,1
694,694,0,1
695,695,0,1
696,696,1,1
697,697,1,1
698,698,0,1
699,699,1,1
700,700,1,1
701,701,0,1
703,703,0,1
704,704,0,1
706,706,1,1
707,707,1,1
708,708,1,1
709,709,1,1
710,710,0,1
711,711,0,1
712,712,1,1
713,713,1,1
715,715,0,1
716,716,1,1
717,717,1,1
718,718,0,1
720,720,1,1
721,721,0,1
722,722,0,1
723,723,0,1
724,724,1,1
726,726,0,1
727,727,0,1
728,728,0,1
729,729,0,1
731,731,1,1
732,732,0,1
734,734,0,1
735,735,1,1
736,736,0,1
737,737,1,1
738,738,1,1
739,739,1,1
740,740,1,1
741,741,0,1
742,742,0,1
743,743,0,1
744,744,1,1
746,746,0,1
747,747,0,1
748,748,1,1
749,749,0,1
751,751,1,1
752,752,0,1
757,757,0,1
759,759,1,1
760,760,0,1
761,761,1,1
762,762,1,1
763,763,0,1
764,764,0,1
765,765,0,1
766,766,0,1
769,769,1,1
770,770,1,1
771,771,0,1
772,772,1,1
774,774,1,1
775,775,1,1
776,776,1,1
777,777,1,1
778,778,0,1
780,780,0,1
784,784,0,1
785,785,1,1
786,786,1,1
788,788,1,1
789,789,1,1
790,790,1,1
791,791,1,1
794,794,0,1
795,795,0,1
796,796,0,1
797,797,1,1
798,798,1,1
799,799,0,1
801,801,1,1
802,802,1,1
803,803,0,1
804,804,0,1
805,805,1,1
806,806,1,1
807,807,1,1
811,811,1,1
813,813,1,1
814,814,1,1
815,815,1,1
816,816,1,1
817,817,0,1
818,818,1,1
820,820,1,1
821,821,0,1
822,822,0,1
823,823,0,1
824,824,1,1
825,825,1,1
826,826,1,1
