X1,V1,V2,V3,V4,V5,V6,V8,V9,V12,V13,V15,V19,V20,V21,V22,V23,V25,V26,V27,status
2,3.3,0.62,1.3,0.96,0.7,0.94,-0.12,-0.53,-0.05,-17.55,-0.01,1,7,25,8,36635,-366.35,-1937.9929280397023,-0.0027296301351166915,1
3,-7.93,-0.19,0.87,1.35,1.34,225.95,-0.59,-8.12,-0.02,-38.08,-0.1,1,1,42,65,29970,-2997.0,-21291.085535390197,-0.000333667000333667,1
10,-1.16,-0.68,0.14,1.6,0.87,2.23,-0.27,-0.05,-0.06,-11.62,-0.07,1,48,31,12,4276,-299.32000000000005,-24.426218487394948,-0.0033409060537217686,1
12,-1.9,-0.86,0.47,0.42,0.42,-1.78,-0.24,-0.23,-0.07,-12.22,-0.17,1,0,53,156,3799,-645.83,-298.8491943963385,-0.0015483950884907793,1
16,5.88,0.57,1.17,0.35,0.12,0.36,-0.1,-0.72,-0.01,-88.87,-0.11,1,77,306,12,2475,-272.25,-2990.275579547159,-0.0036730945821854912,1
17,-10.8,-8.28,0.91,0.8,0.03,-0.59,-0.01,-0.43,-2.43,-0.22,-0.08,1,4281,355,65,2274,-181.92000000000002,-38.72761055369752,-0.005496921723834652,1
18,3.73,0.21,1.27,1.41,1.35,1.89,0.11,0.27,0.07,21.4,0.1,0,7,61,75,1991,199.10000000000002,-5182.498012748409,0.00502260170768458,1
20,0.77,0.07,2.29,2.73,2.73,18.73,0.41,0.54,0.01,193.94,0.52,0,0,73,151,1773,921.96,-6899.926483431799,0.001084645754696516,1
21,0.19,0.0,6.18,3.28,3.28,1.79,-0.28,-0.36,-0.06,-16.5,-0.05,1,0,5,27,1739,-86.95,-1.0,-0.01150086256469235,1
22,-21.83,-0.01,0.95,1.0,1.0,1.34,-0.2,-4.19,-0.01,-124.64,-0.04,1,0,80,74,1738,-69.52,-1203947.6884210524,-0.014384349827387804,1
23,1.23,1.1,1.82,0.33,0.33,0.56,0.03,0.02,0.46,4.57,0.51,0,0,142,77,1603,817.53,-50.46276452119309,0.0012231967022616908,1
24,-2.55,-1.06,0.61,0.62,0.62,-2.33,-0.69,-1.12,-0.05,-15.61,-0.32,1,0,46,150,1544,-494.08,-474.2760284565418,-0.0020239637305699484,1
25,-1.49,0.0,0.33,0.1,0.1,-2.73,-0.79,-0.39,-0.02,-42.31,-0.74,1,0,0,0,1499,-1109.26,-1.0,-0.0009015019021690136,1
26,11.92,0.0,1.08,1.14,1.14,9.24,0.03,0.1,0.03,47.42,0.01,0,0,0,0,1488,14.88,1.0,0.06720430107526881,1
31,-1.21,0.0,0.17,0.14,0.14,-28.95,-1.02,-0.23,-0.02,-57.31,-0.23,1,0,444,0,1244,-286.12,1.0,-0.0034950370473927025,1
32,-8.74,-0.77,0.89,1.24,1.13,34.56,-0.15,-1.27,-0.06,-16.29,-0.22,1,47,213,386,1239,-272.58,-4140.565688019845,-0.0036686477364443466,1
33,-2.57,-0.37,0.61,1.14,1.14,4.11,-0.05,-0.15,-0.95,-1.04,-0.02,1,0,16,109,1202,-24.04,-1615.1105449712006,-0.0415973377703827,1
34,-3.85,-0.37,0.74,0.85,0.85,-0.55,-0.35,-1.1,-0.11,-7.74,-0.07,1,0,15,64,1160,-81.2,-2723.3779766252737,-0.01231527093596059,1
35,47.92,13.14,1.02,1.03,0.08,1.31,-0.13,-7.11,-0.15,-5.21,-0.05,1,172,131,8,1084,-54.2,-922.5559811382695,-0.01845018450184502,1
36,0.98,0.0,2.02,0.13,0.13,0.75,-0.01,-0.01,-0.01,345.2,0.64,1,0,20,4,1043,667.52,-1.0,0.0014980824544582935,1
37,-4.96,0.0,0.8,1.06,1.05,1.18,-0.21,-1.47,-0.04,-20.18,-0.05,1,0,0,66,999,-49.95,1.0,-0.02002002002002002,1
38,-8.11,0.0,0.88,0.94,0.39,-0.32,-0.13,-1.02,-0.02,-40.39,-0.1,1,160,0,0,999,-99.9,-1.0,-0.01001001001001001,1
40,-1.69,-0.98,0.41,0.18,0.16,-0.06,-0.46,-0.36,-0.15,-5.04,-0.15,1,3,58,0,969,-145.35,-93.61538078646092,-0.0068799449604403165,1
42,-2.86,-1.06,0.65,0.41,0.27,-1.27,-0.03,-0.09,-0.58,-1.02,-0.08,1,310,99,276,910,-72.8,-150.23751814223513,-0.013736263736263736,1
43,-3.51,0.0,0.72,1.14,0.21,4.1,-0.45,-1.18,-0.05,-20.08,-0.64,1,338,0,58,849,-543.36,1.0,-0.0018404004711425205,1
44,0.69,0.0,2.44,2.45,2.44,104.79,-0.11,-0.18,-0.01,-77.2,-0.2,1,2,0,0,835,-167.0,1.0,-0.005988023952095809,1
45,15.55,0.0,1.06,0.95,0.45,0.88,0.02,0.11,0.45,7.71,0.01,0,22,0,0,827,8.27,1.0,0.12091898428053205,1
49,-5.4,-1.54,0.81,0.02,0.02,-0.11,-0.22,-1.14,-0.17,-0.75,-0.06,1,2,146,4,636,-38.16,-246.78659611992947,-0.026205450733752623,1
54,5.89,2.38,1.17,1.37,1.34,11.01,0.12,0.23,0.16,6.38,0.05,0,3,14,123,593,29.650000000000002,-972.2689169000932,0.03372681281618887,1
55,-7.72,-0.29,0.87,1.42,0.92,8.83,-0.2,-1.34,-0.01,-137.04,-0.16,1,98,153,152,573,-91.68,-8782.52594530321,-0.010907504363001745,1
57,-8.99,-0.01,0.89,0.78,0.78,0.17,-0.11,-1.1,-0.25,-2.73,-0.07,1,0,15,213,556,-38.92,-185115.19280898874,-0.025693730729701953,1
58,-5.68,-3.69,0.82,0.05,0.05,-0.03,-0.19,-1.11,-0.23,-1.94,-0.4,1,1,297,21,544,-217.60000000000002,-86.79095776323618,-0.004595588235294117,1
59,4.81,2.1,1.21,1.28,0.57,55.73,0.07,0.26,0.19,5.52,0.09,0,269,88,131,527,47.43,-445.43927823691456,0.02108370229812355,1
60,1.61,0.0,1.62,1.56,1.54,4.0,0.14,0.24,0.09,14.05,0.08,0,1,0,0,511,40.88,1.0,0.02446183953033268,1
62,1.44,0.02,1.7,1.71,1.71,12.14,-0.1,-0.34,-0.22,-4.31,-0.07,1,0,36,137,426,-29.820000000000004,-40358.59035294118,-0.03353454057679409,1
63,19.29,0.0,1.05,1.07,0.54,1.44,0.01,0.02,0.77,2.44,0.03,0,303,0,0,426,12.78,1.0,0.0782472613458529,1
65,-5.93,-5.85,0.83,0.14,0.14,0.93,0.05,-0.01,0.9,2.15,0.94,1,0,0,0,360,338.4,0.14214807949747713,0.0029550827423167852,1
67,-1.37,0.0,0.27,0.12,0.09,-0.21,-0.58,-0.23,-0.05,-15.52,-0.14,1,4,21,0,354,-49.56,1.0,-0.020177562550443905,1
69,-3.25,0.0,0.69,1.09,1.09,15.4,-0.85,-1.94,-0.01,-125.57,-0.17,1,0,5,36,324,-55.080000000000005,1.0,-0.018155410312273055,1
70,-1.64,-0.03,0.39,0.33,0.33,-9.24,-1.17,-0.75,-0.01,-160.73,-0.5,1,0,139,117,323,-161.5,-12032.499442586397,-0.006191950464396285,1
72,27.75,11.15,1.04,1.06,0.34,5.36,-0.04,-1.2,-0.16,-5.74,-0.26,1,792,54,377,304,-79.04,-338.8511477311926,-0.012651821862348178,1
73,-15.66,0.0,0.94,0.13,0.13,0.97,0.0,-0.01,0.9,2.65,1.14,1,0,0,0,290,330.59999999999997,-1.0,0.0030248033877797948,1
