,connect_flag
0,1
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,1
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,1
377,1
378,0
379,1
380,0
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,1
396,0
397,0
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,0
407,1
408,1
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,0
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,0
570,1
571,1
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,0
583,1
584,0
585,1
586,1
587,1
588,0
589,0
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,0
605,0
606,1
607,1
608,0
609,0
610,0
611,1
612,1
613,0
614,0
615,0
616,0
617,0
618,1
619,1
620,1
621,1
622,1
623,0
624,0
625,0
626,0
627,1
628,1
629,1
630,0
631,1
632,0
633,1
634,1
635,1
636,0
637,0
638,1
639,0
640,1
641,0
642,1
643,0
644,1
645,1
646,1
647,1
648,1
649,0
650,0
651,1
652,1
653,0
654,0
655,0
656,1
657,0
658,0
659,0
660,1
661,0
662,0
663,0
664,1
665,1
666,0
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,0
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,1
698,1
699,0
700,0
701,0
702,1
703,0
704,0
705,1
706,1
707,0
708,1
709,0
710,0
711,1
712,0
713,0
714,1
715,0
716,0
717,1
718,0
719,1
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,1
736,0
737,1
738,1
739,1
740,0
741,1
742,0
743,1
744,1
745,1
746,0
747,1
748,0
749,0
750,0
751,0
752,1
753,0
754,1
755,0
756,0
757,0
758,1
759,0
760,0
761,1
762,1
763,1
764,1
765,0
766,0
767,1
768,0
769,1
770,0
771,0
772,0
773,1
774,1
775,1
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,0
790,0
791,0
792,1
793,1
794,1
795,0
796,1
797,0
798,0
799,1
800,0
801,0
802,1
803,1
804,1
805,1
806,0
807,1
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,1
816,0
817,1
818,1
819,0
820,1
821,1
822,0
823,0
824,0
825,1
826,1
827,0
828,0
829,0
830,1
831,0
832,1
833,0
834,0
835,0
836,0
837,0
838,1
839,1
840,0
841,0
842,0
843,0
844,0
845,1
846,1
847,1
848,0
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,1
864,0
865,1
866,0
867,0
868,1
869,0
870,0
871,0
872,1
873,1
874,1
875,0
876,1
877,1
878,0
879,0
880,1
881,0
882,0
883,1
884,1
885,0
886,0
887,0
888,0
889,1
890,0
891,0
892,0
893,0
894,1
895,0
896,0
897,1
898,0
899,0
900,0
901,0
902,1
903,0
904,0
905,1
906,0
907,1
908,0
909,0
910,1
911,0
912,0
913,1
914,0
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,0
923,1
924,0
925,0
926,0
927,1
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,1
938,1
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,0
947,0
948,0
949,0
950,0
951,1
952,1
953,0
954,0
955,1
956,0
957,0
958,1
959,0
960,0
961,1
962,1
963,0
964,0
965,1
966,0
967,0
968,1
969,1
970,0
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,1
982,1
983,0
984,0
985,0
986,1
987,0
988,0
989,0
990,0
991,1
992,0
993,1
994,1
995,0
996,1
997,0
998,0
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,0
1006,1
1007,1
1008,0
1009,0
1010,1
1011,1
1012,0
1013,1
1014,0
1015,1
1016,1
1017,0
1018,1
1019,1
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,1
1045,0
1046,1
1047,1
1048,1
1049,1
1050,0
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,1
1080,1
1081,1
1082,1
1083,1
1084,0
1085,0
1086,0
1087,0
1088,1
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,0
1097,1
1098,0
1099,0
1100,1
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,0
1111,1
1112,0
1113,0
1114,0
1115,0
1116,0
1117,1
1118,1
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1134,1
1135,1
1136,1
1137,0
1138,1
1139,1
1140,0
1141,0
1142,1
1143,0
1144,1
1145,0
1146,0
1147,0
1148,1
1149,0
1150,0
1151,0
1152,1
1153,0
1154,0
1155,1
1156,1
1157,0
1158,1
1159,0
1160,0
1161,1
1162,0
1163,1
1164,1
1165,1
1166,1
1167,0
1168,0
1169,1
1170,0
1171,1
1172,1
1173,0
1174,1
1175,1
1176,0
1177,0
1178,0
1179,0
1180,1
1181,1
1182,0
1183,1
1184,1
1185,0
1186,0
1187,1
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,0
1198,0
1199,1
1200,0
1201,0
1202,0
1203,0
1204,1
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,1
1222,0
1223,0
1224,1
1225,0
1226,1
1227,1
1228,0
1229,0
